@node self.values.life_values
# choice: security vs stimulation / self-direction
C | You are offered a promotion that means moving far away from your aging parents. What do you do? | take_it = accept and visit when I can ; negotiate_remote = ask to do the job from home ; decline = stay near my parents ; move_them = accept and ask my parents to move with me ; other
C | A steady government job and a risky role at a young startup both offer you a place. Which do you take? | steady_job = the secure government job ; startup = the risky startup role ; ask_for_time = delay and gather more information ; other
C | Your family expects you to take over the family bakery, but you want to study marine biology. What do you choose? | take_over = run the bakery ; study_biology = follow my own path ; do_both = study part time and help at the bakery ; hand_it_on = help find someone else to run it ; other
C | You have saved enough for either a year of travel or a deposit on a small home. Which do you pick? | travel = a year of travel ; home_deposit = the home deposit ; half_and_half = shorter trip and a smaller deposit ; other
C | Your community holds a yearly festival you find dull, and skipping it would upset the elders. What do you do? | attend_fully = attend and take part ; attend_briefly = show up for a short while ; skip_politely = skip and explain kindly ; skip_quietly = just stay home ; other
C | Your manager asks you to follow a procedure you think is inefficient. What do you do? | follow_it = follow it as asked ; follow_and_suggest = follow it and propose a better way ; quietly_improvise = do it my own way without saying ; refuse = openly refuse ; other
C | A friend invites you on a spontaneous weekend trip, but you had planned a quiet weekend catching up on sleep and chores. What do you do? | go = drop my plans and go ; stay = keep my quiet weekend ; join_part = join for one day ; other
C | You inherit a house in your hometown. What do you do with it? | live_there = move back and live in it ; keep_as_retreat = keep it for holidays ; rent_it_out ; sell_it = sell and use the money elsewhere ; give_to_family = let a relative use it ; other
C | Your grandmother asks you to wear a traditional outfit to a family wedding, though you find it uncomfortable. What do you do? | wear_it = wear it gladly for her ; wear_part = wear part of it ; wear_my_own = wear my own clothes ; other
C | You could lead a large team with real influence or stay in a smaller role where you do the work you love. Which do you pick? | lead = take the leadership role ; stay_hands_on = keep the work I love ; try_lead_then_decide = try leading for a while then decide ; other
C | A charity job pays much less than your current corporate job but matches your ideals. What do you do? | switch = take the charity job ; stay = keep the corporate job ; volunteer_on_side = keep my job and volunteer ; other
C | Your neighborhood asks everyone to paint their fences the same color, and you prefer a bright shade. What do you do? | conform = paint it the agreed color ; ask_exception = ask for an exception ; paint_bright = paint it my color anyway ; other
C | You win a free month anywhere in the world. Where would you rather spend it? | familiar_place = somewhere familiar and comfortable ; unknown_place = somewhere I know nothing about ; with_family = near family I rarely see ; retreat = a quiet place to rest ; other
C | Your closest friend asks you to be godparent to their child, which comes with a lifelong duty. What do you do? | accept_gladly ; accept_reluctantly = accept out of loyalty despite doubts ; decline = decline because I cannot commit ; other
C | You are offered a well-paid job at a company whose products harm the environment. What do you do? | accept = take it ; accept_and_push = take it and push for change inside ; decline = turn it down ; other
C | A new town law would make your street safer but ban the street parties you love. How do you feel about it? | support = support the safety rule ; oppose = oppose losing the parties ; seek_compromise = ask for permits for occasional parties ; indifferent ; other
C | You have a free evening. Your elderly neighbor has asked for company, and a friend has invited you to a concert. Which do you choose? | neighbor = keep my neighbor company ; concert = go to the concert ; split_evening = visit my neighbor early then the concert ; other
