C | personality | What is your earliest clear memory mostly about? | a_place; a_person; a_toy_or_object; an_event=a party, trip, or holiday; a_feeling=being scared, happy, or lost; none=I have no clear early memory
C | personality | Which sense is strongest in your childhood memories? | sight; sound; smell; taste; touch; none_stands_out
C | taste | Which smell most instantly takes you back to childhood? | a_family_meal_cooking; cut_grass; the_sea; a_school_classroom; rain; a_relative_home=a grandparent or relative's house; sunscreen; other
C | personality | Where did you spend most of your free time as a child? | outdoors; at_home_inside; at_friends_homes; at_a_relative_home; in_organized_activities=sports, lessons, or clubs; at_a_library; other
C | personality | Who was the most important adult in your childhood besides your parents? | a_grandparent; an_aunt_or_uncle; a_teacher; a_coach; a_family_friend; a_neighbor; an_older_sibling; none
C | personality | What kind of child were you, looking back? | quiet_and_observant; loud_and_social; curious_and_questioning; rule_following; mischievous; imaginative_dreamer; anxious_worrier; other
C | personality | Which childhood toy or object do you remember most fondly? | a_stuffed_animal; building_blocks; a_bicycle; a_video_game; dolls_or_figures; books; a_ball; none_in_particular
C | personality | What did you most want to be when you grew up, as a young child? | an_athlete; a_doctor_or_vet; a_teacher; an_artist_or_performer; an_astronaut_or_scientist; a_firefighter_or_police; an_animal_keeper; something_else
C | personality | Which part of your childhood do you remember most vividly? | holidays_and_celebrations; school_days; summers; time_with_family; time_with_friends; a_difficult_period; moving_home; none_stands_out
C | personality | What was your favorite place to hide or be alone as a child? | my_bedroom; a_closet_or_cupboard; a_tree_or_treehouse; under_a_table_or_bed; somewhere_outside; I_never_hid=I did not have one
C | personality | Which best describes the home you grew up in? | lively_and_noisy; calm_and_quiet; strict_and_orderly; relaxed_and_loose; crowded; often_changing=we moved a lot; other
C | personality | Which family tradition from your childhood do you remember best? | a_holiday_ritual; a_regular_family_meal; an_annual_trip; a_bedtime_routine; a_weekend_outing; a_game_night; none
C | personality | Which school subject do you remember loving as a child? | reading_and_writing; math; science; art; music; sports_and_gym; history; none
C | personality | What is the first thing that comes to mind when you think of your school days? | a_particular_friend; a_teacher; a_classroom_or_building; a_moment_of_embarrassment; a_success; lunch_or_recess; boredom; other
C | personality | Which kind of memory comes back to you most often without trying? | happy_moments; embarrassing_moments; sad_moments; ordinary_everyday_scenes; big_milestones; none_in_particular
C | personality | What has been the biggest turning point in your life so far? | a_move=moving to a new place; a_relationship; a_loss; a_school_or_career_choice; a_health_event; becoming_a_parent; a_chance_meeting; none_yet
C | personality | Which experience changed you the most as a person? | a_failure; a_success; a_loss; travel; a_relationship; a_new_responsibility; a_hardship; none_stands_out
C | social | Who has shaped who you are the most? | a_parent; a_sibling; a_grandparent; a_friend; a_partner; a_teacher_or_mentor; myself_mostly; other
C | personality | What kind of regret do you carry most? | words_I_said; words_I_never_said; a_chance_I_did_not_take; a_relationship_I_let_go; how_I_treated_someone; time_I_wasted; none
C | personality | What was your first job, or the first work you were paid for? | babysitting; food_service; retail; yard_or_house_chores; tutoring; office_work; manual_labor; never_had_one
C | personality | Which first experience do you remember most clearly? | first_day_of_school; first_time_away_from_home; first_friendship; first_crush; first_job; first_trip_abroad; first_time_driving; none_stands_out
C | personality | What was the biggest mistake you learned from growing up? | lying_to_someone; not_studying; trusting_the_wrong_person; giving_up_too_soon; being_unkind; spending_carelessly; none_comes_to_mind
C | values | Which memory do you most wish you could relive exactly as it was? | a_family_holiday; a_moment_with_a_friend; a_time_with_someone_now_gone; a_personal_triumph; an_ordinary_day; a_trip; none
C | personality | How do you mostly keep your memories? | photos; videos; a_journal; saved_objects_and_keepsakes; social_media; only_in_my_head; other
