C | taste | Which small daily pleasure lifts your mood the most? | morning_coffee_or_tea; a_good_meal; time_outdoors; music; a_long_shower; reading; chatting_with_someone; other
C | values | Which matters most for a good life? | close_relationships; good_health; meaningful_work; freedom; financial_security; personal_growth; other
C | evaluative | Which usually makes you happier: planning a trip or taking it? | planning_it; taking_it; remembering_it_afterward; all_the_same
C | personality | When something good happens to you, what do you usually do first? | tell_someone; savor_it_quietly; post_about_it; move_on_to_the_next_thing; worry_it_wont_last
C | values | Which kind of happiness do you value more? | calm_contentment=a steady, quiet sense that things are fine; excitement=high moments of joy and thrill; both_equally
C | evaluative | Which do you think brings more lasting satisfaction? | finishing_a_hard_project; a_relaxing_vacation; a_great_night_with_friends; buying_something_you_wanted
C | taste | What is your ideal way to spend a free afternoon? | outside_in_nature; with_friends; alone_with_a_book_or_show; working_on_a_hobby; napping; exploring_somewhere_new; other
C | personality | How do you most often notice you are happy? | in_the_moment; only_looking_back; when_someone_points_it_out; rarely_notice
C | values | Which would you choose for a better life: more time or more money? | more_time; more_money; it_depends
C | evaluative | What most often gets in the way of your own happiness? | not_enough_time; worry_about_the_future; comparing_to_others; work_stress; loneliness; money; health; nothing_much
C | social | Whose happiness affects your own the most? | partner; family; close_friends; coworkers; nobody_in_particular
C | values | Which would add the most to your happiness right now? | more_rest; more_friends; a_better_job; more_money; better_health; more_adventure; nothing_i_am_content
C | taste | Which setting makes you feel most at peace? | by_the_sea; in_the_mountains; in_a_forest; in_a_busy_city; at_home; in_a_garden
C | evaluative | Which is the better recipe for a happy life? | low_expectations; high_hopes; realistic_expectations
C | personality | When you reach a goal, how long does the good feeling usually last? | a_few_moments; about_a_day; a_few_weeks; a_long_time; i_rarely_feel_it
C | values | Which is more important to you: being content or being ambitious? | being_content; being_ambitious; a_balance
C | evaluative | Which do you think makes people happiest over a lifetime? | love; work_they_care_about; friendship; health; money; faith_or_philosophy; adventure
C | taste | Which season makes you happiest? | spring; summer; autumn; winter; no_difference
C | taste | Which time of day do you enjoy most? | early_morning; late_morning; afternoon; evening; late_night
C | personality | How do you usually express gratitude? | saying_thank_you; writing_notes; doing_favors_in_return; quietly_in_my_head; i_rarely_express_it
C | values | Which kind of success would make you happiest? | respect_from_peers; financial_freedom; creative_achievement; a_happy_family; helping_many_people; personal_mastery
C | evaluative | What best describes a truly good day for you? | productive; relaxing; social; adventurous; peaceful
C | social | Who do you think is usually happier? | people_with_many_friends; people_with_a_few_close_friends; people_who_prefer_solitude; no_difference
C | evaluative | Which is a better source of happiness: novelty or routine? | novelty; routine; a_mix
C | values | If you could improve one area of your life, which would it be? | work; relationships; health; finances; free_time; living_situation; personal_growth
C | taste | Which simple pleasure would be hardest for you to give up? | hot_showers; good_food; music; sunlight; sleeping_in; conversations; pets
C | personality | When you have a quiet moment, what do you usually do? | enjoy_the_stillness; check_my_phone; plan_ahead; daydream; start_a_task
C | evaluative | Which do you think matters more for happiness: where you live or who you live with? | where_you_live; who_you_live_with; equally
C | values | What would you trade some income for? | shorter_commute; more_meaningful_work; more_flexible_hours; nicer_coworkers; living_near_family; nothing
C | evaluative | Which age group do you think is happiest? | children; teenagers; young_adults; middle_aged_adults; older_adults; no_difference
C | personality | How do you tend to feel on a Sunday evening? | relaxed_and_content; anxious_about_the_week; excited_for_the_week; indifferent
C | taste | What kind of vacation makes you happiest? | beach_relaxation; city_exploration; outdoor_adventure; visiting_family; staying_home; cultural_trip
C | values | Which is the better goal for a life? | to_be_happy; to_be_useful; to_be_remembered; to_be_free; to_be_loved
C | evaluative | Which usually makes people happier: giving a gift or receiving one? | giving; receiving; the_same
C | personality | Which describes how you handle good news? | celebrate_right_away; wait_until_it_is_certain; downplay_it; share_it_with_everyone
C | evaluative | Which feeling do you think is closest to real happiness? | peace; joy; pride; love; excitement; relief
C | taste | Which activity puts you most in the zone, losing track of time? | making_things; playing_sports; reading; gaming; cooking; working; music; none
C | values | What does having enough mean to you? | no_money_worries; time_for_what_i_love; people_who_care_about_me; good_health; i_never_feel_i_have_enough
C | social | Whose advice about happiness would you trust most? | a_grandparent; a_close_friend; a_therapist; a_philosopher; a_parent; my_own_experience
C | evaluative | Which is the bigger threat to happiness today? | too_much_screen_time; overwork; social_comparison; isolation; money_pressure; too_many_choices
C | personality | How do you most often recharge? | sleeping; being_alone; being_with_people; exercising; getting_outside; doing_a_hobby
C | values | Which would make you happier: a big house far from friends or a small place near them? | big_house_far; small_place_near
C | evaluative | Which contributes more to a good week for you? | getting_things_done; seeing_people_i_love; having_fun; getting_enough_rest
C | taste | Which sound makes you feel happiest? | rain; birdsong; laughter; waves; a_favorite_song; silence
C | values | What would you most want your children or younger relatives to learn about happiness? | appreciate_small_things; do_meaningful_work; build_strong_friendships; dont_compare; take_care_of_your_health; other
C | evaluative | Which is more likely to make you happy in the long run? | achieving_your_dreams; letting_go_of_some_dreams; both_equally
C | personality | Which best describes your happiness over a typical week? | steady; up_and_down; mostly_low; mostly_high
C | taste | Which comfort do you reach for on a gloomy day? | a_warm_drink; a_favorite_movie; comfort_food; a_blanket_and_nap; calling_a_friend; a_walk
C | values | Which do you prefer: a life with high highs and low lows or an even, steady life? | high_highs_and_low_lows; even_and_steady
C | evaluative | Which do you think has the biggest effect on everyday happiness? | sleep; relationships; work; weather; money; exercise
C | social | How does seeing a friend succeed usually make you feel? | genuinely_happy; happy_but_a_little_envious; mostly_envious; indifferent
C | taste | Which meal of the day brings you the most joy? | breakfast; lunch; dinner; snacks; none
C | values | Which would you rather have: a job you love that pays little or a job you dislike that pays well? | love_it_pays_little; dislike_it_pays_well
C | evaluative | Which do people tend to underestimate for happiness? | sleep; friendship; nature; free_time; purpose; gratitude; health
C | evaluative | Which do people tend to overestimate for happiness? | money; fame; looks; possessions; a_bigger_home; career_status; being_single_or_married
C | personality | How do you feel after a long stretch of doing nothing? | refreshed; restless; guilty; bored; content
C | taste | Which of these would make an ordinary day feel special? | an_unexpected_message_from_a_friend; a_great_meal; finishing_a_task; nice_weather; a_small_surprise_gift; learning_something_new
C | values | Which do you see as the heart of a good life? | loving_and_being_loved; doing_good_work; enjoying_the_journey; growing_as_a_person; being_free
C | evaluative | Which is a better predictor of whether someone is happy? | their_friendships; their_income; their_job; their_health; their_outlook
C | social | Which kind of gathering makes you happiest? | a_big_party; a_small_dinner; a_one_on_one_chat; a_family_holiday; a_group_activity; none
C | personality | When you are happy, how do other people usually notice? | i_talk_more; i_smile_a_lot; i_get_more_generous; i_get_quiet_and_calm; they_dont_notice
C | values | Which kind of wealth would you most want? | money; time; friends; knowledge; health; peace_of_mind
C | evaluative | Which is the better approach to a happy life? | chase_what_you_want; want_what_you_have; a_bit_of_both
C | taste | Which hobby do you think brings the most lasting happiness? | gardening; playing_music; sports; cooking; volunteering; crafts; reading; other
C | personality | Which describes how you react to a small win, like finding a great parking spot? | it_makes_my_day; i_smile_and_forget; i_barely_notice
C | evaluative | Which usually leaves you happier at the end of a day? | a_day_of_hard_work; a_day_of_rest; a_day_with_friends; a_day_of_learning
C | values | Which would you pick to improve your happiness for a whole year? | a_long_trip; a_new_close_friend; a_promotion; a_calmer_schedule; a_new_skill; a_pet
C | social | Which describes the people who seem happiest to you? | they_are_generous; they_are_busy; they_are_relaxed; they_are_grateful; they_are_curious; they_are_well_off
C | evaluative | Which is the most reliable path to a satisfying life? | strong_relationships; a_good_career; staying_healthy; a_rich_inner_life; helping_others
C | taste | Which view would you most like to wake up to every day? | the_ocean; mountains; a_city_skyline; a_garden; a_forest; a_lake
C | personality | How do you tend to think about your happiest moments? | revisit_them_often; keep_photos_of_them; rarely_think_about_them; feel_sad_they_are_over
C | values | What would make you feel your life was going well? | being_at_peace; being_proud_of_my_work; being_close_to_loved_ones; being_financially_secure; being_healthy; having_fun
C | evaluative | Which matters more for happiness: having choices or having fewer decisions to make? | having_many_choices; having_fewer_decisions; it_depends
C | social | When you are feeling down, who do you want around? | a_partner; a_close_friend; family; a_pet; no_one
C | evaluative | Which is more important to a good life: adventure or stability? | adventure; stability; both_equally
C | taste | Which smell makes you happiest? | fresh_bread; coffee; rain_on_pavement; cut_grass; the_sea; a_campfire; flowers
C | personality | Which describes your relationship with rest? | i_rest_easily; i_rest_but_feel_guilty; i_struggle_to_rest; i_rest_too_much
C | values | Which would bring you more fulfillment? | mastering_one_thing; trying_many_things
