C | taste | How would you most want to spend your last full day alive? | with_family; with_close_friends; alone_in_nature; traveling_somewhere_new; doing_a_favorite_hobby; eating_favorite_food; at_home_as_usual=an ordinary day at home; other
C | values | Who would you most want beside you on your last day? | partner; parents; children; closest_friend; a_crowd_of_loved_ones; no_one=you would prefer to be alone; other
C | taste | Where would you most like to spend your final day? | at_home; by_the_sea; in_the_mountains; in_a_city_you_love; where_you_grew_up; somewhere_you_never_visited; other
C | values | What would you most want to say to people on your last day? | thank_you; i_love_you; i_am_sorry; advice_for_their_lives; a_joke_to_lighten_it; nothing_special=you would rather just be with them
C | taste | What would you eat for your last meal? | childhood_favorite=a dish from when you were young; something_expensive=a luxury meal you never tried; home_cooking=a meal made by someone you love; street_food; dessert_only; whatever_is_in_the_fridge; other
C | evaluative | Which feeling do you expect to have most when you think about your life near its end? | pride; gratitude; peace; regret; curiosity_about_what_is_next; fear; other
C | taste | How would you like to be remembered at a gathering after you die? | a_party=a lively celebration; a_quiet_ceremony; a_walk_in_nature; a_shared_meal; no_gathering; other
C | taste | Which song mood would you want played at your memorial? | upbeat_and_joyful; calm_and_peaceful; sad_and_moving; funny_and_ironic; no_music; other
C | values | What would you do with your belongings after you are gone? | leave_to_family; give_to_friends; donate_to_charity; sell_and_give_the_money; let_others_decide; other
C | evaluative | What is the biggest advantage of being young? | energy; health; time_ahead; freedom_from_responsibility; looks; willingness_to_take_risks; other
C | taste | What would you most like to be doing in old age? | traveling; gardening; spending_time_with_grandchildren; still_working; learning_new_things; volunteering; relaxing_at_home; other
C | taste | Where would you most like to live when you are old? | where_you_live_now; near_your_children; somewhere_warm; the_countryside; a_busy_city; a_retirement_community; with_family; other
C | personality | How do you usually react when you notice a new sign of aging on yourself? | laugh_it_off; feel_a_bit_sad; try_to_hide_it; accept_it_calmly; do_not_notice_such_things; other
C | values | Which do you value more: a long life or a full life? | a_long_life; a_full_life; both_equally
C | values | If you could only have one, which would you choose? | a_long_healthy_life_that_is_ordinary; a_shorter_life_that_is_extraordinary
C | values | If you could live forever, who would you want to share it with? | no_one; your_partner; your_family; your_friends; everyone; other
C | evaluative | What do you think would be the hardest part of living forever? | watching_others_die; boredom; losing_purpose; the_world_changing_too_much; loneliness; nothing=it would be wonderful
C | evaluative | Which best describes how time seems to pass for you lately? | it_flies; it_drags; it_is_steady; it_depends_on_the_day
C | personality | When do you feel time passes fastest? | on_holiday; at_work; with_friends; while_absorbed_in_a_hobby; while_sleeping_in; on_screens; other
C | personality | When does time feel slowest for you? | waiting_in_line; in_boring_meetings; when_sick; when_anxious; when_bored_at_home; while_waiting_for_news; other
C | personality | Which best describes how you plan for the future? | detailed_long_term_plans; rough_goals; plan_only_the_next_step; take_it_as_it_comes; other
C | values | Which do you think is the biggest waste of time? | worrying; scrolling_on_a_phone; commuting; arguing_online; waiting_for_the_perfect_moment; holding_grudges; watching_television; other
C | personality | What do you do most often when you have unexpected free time? | rest; see_people; do_a_hobby; catch_up_on_chores; scroll_on_a_phone; go_outside; other
C | taste | Which item would you put in a time capsule to be opened long after you are gone? | a_letter; a_photo; a_favorite_object; a_piece_of_music; a_newspaper; a_piece_of_clothing; other
C | taste | Who would you write a letter to be read after you die? | your_partner; your_children; your_parents; your_friends; your_future_descendants; no_one; other
