self.love.dating_attraction | When you have a crush on someone, what do you usually do?
self.love.dating_attraction | Which of these would most people name first when asked: "Name something people might lie about on their online dating profile."
self.love.dating_attraction | Would you rather date someone who shares your interests or someone with different ones?
self.love.dating_attraction | Who do you think should pay on a first date?
self.love.dating_attraction | Which is the worst choice for a first date?
self.love.dating_attraction | Should you mention on a first date that you want children someday?
self.love.dating_attraction | Is it a warning sign if someone you're dating has no social media at all?
self.love.dating_attraction | How much does physical fitness matter to you in a potential partner?
self.love.dating_attraction | Do you think opposites attract?
self.love.dating_attraction | Would you date someone who smokes?
self.love.dating_attraction | Which of these would most people name first when asked: "Name a place you would not describe as romantic."
self.love.dating_attraction | Can being 'too nice' make someone less attractive?
self.love.dating_attraction | What do you tend to notice first about someone you find attractive?
self.love.dating_attraction | Would you date an adult who still lives with their parents?
self.love.dating_attraction | Where would you most like to meet a future partner?
self.love.dating_attraction | Do you think dating apps have made dating worse?
self.love.dating_attraction | Have you ever had a crush on someone you never actually spoke to?
self.love.dating_attraction | Which of these would most people name first when asked: "Name something a beautiful woman might flirt with someone in order to get."
self.love.dating_attraction | Which of these would most people name first when asked: "Name something a man might try to keep covered during a first date."
self.love.dating_attraction | Which do you find more attractive in someone you just met?
self.love.dating_attraction | Which first date would you most enjoy?
self.love.dating_attraction | Who do you tell first when you have a new crush?
self.love.dating_attraction | If you had to pick, would you rather date someone who is much smarter than you, much funnier, much better looking, or much kinder?
self.love.dating_attraction | How much do you care about a potential partner's ambition?
self.love.dating_attraction | After a first date that went well, when should you send a message?
self.love.dating_attraction | Would you tell a crush how you feel even if you expected to be turned down?
self.love.dating_attraction | Is it okay to ask someone out by text rather than in person?
self.love.dating_attraction | How far would you be willing to travel for a first date?
self.love.dating_attraction | How should someone show you they're interested?
self.love.dating_attraction | What is the kindest way to turn someone down after two or three dates?
self.love.dating_attraction | Is it okay to date more than one person before agreeing to be exclusive?
self.love.dating_attraction | Which kind of dating setup suits you best?
self.love.dating_attraction | Which trait matters most to you when deciding whether to date someone?
self.love.dating_attraction | Which hobby would make a potential partner most attractive to you?
self.love.dating_attraction | Which quality do you find least attractive in someone you're dating?
self.love.dating_attraction | If your date looks quite different from their photos, what should you do?
self.love.dating_attraction | What do you notice most in a new match's text messages?
self.love.dating_attraction | Which skill would be most attractive in a date?
self.love.dating_attraction | Which stage of dating do you enjoy most?
self.love.dating_attraction | How much do you rely on dating apps to meet people?
self.love.dating_attraction | How much does it matter to you if a potential partner is much older or younger than you?
self.love.dating_attraction | How important is a sense of humor in someone you date?
self.love.dating_attraction | How much do you enjoy the messaging phase before meeting someone in person?
self.love.dating_attraction | How much does a potential partner's style of dress matter to you?
self.love.dating_attraction | Which dating profile flaw puts you off the most?
self.love.dating_attraction | How open are you to dating someone who already has children?
self.love.dating_attraction | How selective are you when swiping on dating apps?
self.love.dating_attraction | How much does a potential date's job affect your interest in them?
self.love.dating_attraction | Do you think you have a clear 'type' that you're always drawn to?
self.love.dating_attraction | Would you be happy for a first date to split the bill?
self.love.dating_attraction | If your date is rude to a waiter, how much does it change your view of them?
self.love.dating_attraction | How open are you to a blind date?
self.love.dating_attraction | How much do you research someone online before a first date?
self.love.dating_attraction | Who should make the first move when two people are interested in each other?
self.love.dating_attraction | What do you think most single people want most from dating right now?
self.love.dating_attraction | Would you go on a second date with someone you felt no spark with on the first?
self.love.dating_attraction | Which is the strongest sign of chemistry with a new person?
self.love.dating_attraction | How much does a potential partner's height matter to you?
self.love.dating_attraction | How comfortable would you be approaching a stranger you find attractive?
self.love.dating_attraction | How forward are you when flirting?
self.love.dating_attraction | Would you date someone whose home was very messy?
self.love.dating_attraction | Which of these would most likely stop you from going on a second date?
self.love.dating_attraction | How much do spelling mistakes in a match's messages turn you off?
self.love.dating_attraction | How would you most like to be asked out?
self.love.dating_attraction | What kind of voice do you find most attractive?
self.love.dating_attraction | Which dating app photo makes the best impression on you?
self.love.dating_attraction | Which of these would most people name first when asked: "What might a man tell his girlfriend that he's waiting for before proposing marriage?"
self.love.dating_attraction | Which way of meeting a partner would you trust most?
self.love.dating_attraction | Would you go on a date with someone you met through the comments of a social media post?
self.love.dating_attraction | Do you find it attractive when a date plans the whole evening without asking you?
self.love.dating_attraction | What matters most to you on a first date?
self.love.dating_attraction | How quickly do you usually know whether you're attracted to someone?
self.love.dating_attraction | Would you date someone who doesn't drink alcohol at all?
self.love.dating_attraction | How long do you wait before replying to a match you like?
self.love.dating_attraction | What is the best topic to talk about on a first date?
self.love.dating_attraction | Would you rather date someone you're intensely drawn to but share little with, or someone very compatible whom you find only mildly attractive?
self.love.dating_attraction | What is the best opening message on a dating app?
self.love.dating_attraction | Which of these would most people name first when asked: "Name a good excuse to get your date to come inside at the end of the night."
self.love.dating_attraction | Which is the bigger warning sign in someone you're starting to date?
self.love.dating_attraction | How much of your dating life do you share with your friends?
self.love.etiquette_social_norms | How often do you write thank-you notes?
self.love.etiquette_social_norms | How strict should punctuality be for a casual lunch with a friend?
self.love.etiquette_social_norms | How should you respond to a group message invitation you can't attend?
self.love.etiquette_social_norms | What should you do when you disagree with someone's opinion at a dinner party?
self.love.etiquette_social_norms | Which is more polite when a host offers a food you dislike?
self.love.etiquette_social_norms | What should you do if you forget someone's name mid-conversation?
self.love.etiquette_social_norms | What is the proper way to decline an invitation?
self.love.etiquette_social_norms | Who should pay when you invite someone out for their birthday?
self.love.etiquette_social_norms | What is the most annoying thing a movie theater neighbor can do?
