C | values | When a friend lands their dream job, what do you think mostly got them there? | talent; hard_work; connections; timing; luck; a_mix=no single factor stands out
C | evaluative | Which superstition do you find the silliest? | friday_the_thirteenth; black_cats; broken_mirrors; walking_under_ladders; opening_umbrellas_indoors; spilling_salt; none=I don't find any of them silly
C | personality | What do you usually say or do right after you mention that things are going well? | knock_on_wood; say_touch_wood=say it aloud without touching anything; cross_fingers; take_it_back=add a quick disclaimer; nothing
C | taste | Which lucky symbol do you like the most? | four_leaf_clover; horseshoe; rabbit_foot; lucky_cat=the waving cat figurine; evil_eye_charm; ladybug; shooting_star; none
C | personality | When you open a fortune cookie, what do you do with the fortune? | read_and_toss; read_and_keep; read_it_aloud_to_others; add_a_joke_ending=add a silly phrase to the end; ignore_it
C | values | Which explanation fits best when someone keeps getting lucky breaks? | they_prepare_well; they_take_more_chances; they_know_the_right_people; they_are_simply_fortunate; it_evens_out_later
C | personality | Where do you usually make a wish? | birthday_candles; shooting_star; wishbone; coin_in_a_fountain; eyelash; clock_showing_matching_times=a clock with repeating digits; never
C | evaluative | Which best describes astrology to you? | real_guide=a real guide to personality and events; fun_entertainment; conversation_starter; harmless_nonsense; misleading
C | social | How do you react when a friend tells you their horoscope predicted something that came true? | share_the_excitement; ask_for_more_details; play_along_politely; point_out_coincidence; tease_them
C | personality | If you dreamed that something bad happened to a loved one, what would you do the next morning? | call_or_text_them; tell_someone_about_it; think_about_it_all_day; shrug_it_off; forget_it_immediately
C | values | Which do you believe more about a near miss, like just avoiding an accident? | someone_was_watching_over_me; i_was_lucky; i_reacted_well; pure_chance; it_was_not_my_time
C | taste | If you owned a lucky item, what would it most likely be? | piece_of_jewelry; article_of_clothing; coin; small_toy_or_figurine; stone_or_crystal; photo; none
C | evaluative | What best explains why some people win the lottery and others never do? | random_chance; destiny; buying_more_tickets; good_karma; something_else
C | personality | What do you do before an exam or big interview to bring luck? | wear_something_lucky; follow_a_set_routine; eat_a_certain_meal; ask_someone_to_wish_me_luck; say_a_phrase_to_myself; nothing_special
C | values | When you get a lucky break, what do you feel most? | grateful; relieved; proud_i_was_ready; guilty; suspicious_it_will_not_last
C | social | When someone says "good luck" to you, how do you respond? | thank_them; say_break_a_leg_back; say_i_will_not_need_it; tell_them_to_not_jinx_it; nothing
C | evaluative | Which paranormal claim seems most plausible to you? | ghosts; psychic_premonitions; telepathy; haunted_places; past_lives; none_of_them
C | values | What role do you think luck played in who your closest friends are? | almost_everything; a_large_role; a_small_role; almost_none=I chose them deliberately
C | taste | Which lucky color would you choose for yourself? | red; gold; green; white; black; blue; none
C | personality | What kind of lucky habit are you most likely to have? | lucky_seat; lucky_clothing; lucky_route; lucky_phrase; lucky_food; none
C | evaluative | Which is the best explanation for a feeling of deja vu? | brain_glitch; memory_of_a_dream; sign_i_am_on_the_right_path; glimpse_of_a_past_life; not_sure
C | values | If you had to credit one thing for how your life has turned out, what would it be? | my_own_effort; my_family; luck; my_choices; the_people_i_met; fate
C | personality | How do you pick lottery numbers, if you play? | birthdays_and_anniversaries; random_quick_pick; lucky_numbers; same_numbers_every_time; i_never_play
C | social | Which friend would you want beside you in a casino? | the_lucky_one; the_careful_one; the_one_who_knows_the_odds; the_fun_one; i_would_not_go
C | values | When something wonderful happens by chance, which phrase fits best? | it_was_meant_to_be; i_got_lucky; the_universe_rewarded_me; right_place_right_time; no_phrase
C | personality | Which way do you usually lean after a run of good luck? | expect_more_good_things; expect_the_luck_to_turn; stay_humble_and_quiet; take_bigger_risks; no_change
C | taste | Which luck tradition from another culture appeals to you most? | eating_grapes_at_new_year; red_envelopes; throwing_rice; breaking_plates; wearing_new_clothes_for_new_year; none
C | evaluative | What do you think a recurring dream usually means? | unresolved_stress; a_message_or_warning; random_brain_activity; a_memory_resurfacing; nothing
