# self.love.dating_attraction — choice batch A
C | taste | What kind of smile do you find most attractive? | wide_toothy_grin ; shy_half_smile ; crooked_smirk ; smile_with_the_eyes = a warm smile that reaches the eyes ; no_preference
C | taste | Which setting makes you feel most confident flirting? | at_a_party ; at_work_or_school ; online_or_by_text ; through_mutual_friends ; at_a_hobby_or_class ; nowhere_really
C | values | What is the best way to end a first date you did not enjoy? | honest_goodbye = say thanks and make no promises ; polite_hug_and_leave ; text_later_saying_no_spark ; say_nothing_and_let_it_fade ; other
C | taste | Which first-date activity lets you get to know someone best? | coffee ; dinner ; long_walk ; museum_or_gallery ; mini_golf_or_bowling ; cooking_together ; concert
C | values | When is it fine to cancel a first date? | only_for_emergencies ; if_you_feel_unwell ; if_you_lost_interest_before_meeting ; any_time_with_some_notice ; any_time_at_all
C | taste | What time of day is best for a first date? | morning ; lunchtime ; afternoon ; early_evening ; late_night
C | values | Who should suggest the place for a first date? | whoever_asked ; whoever_knows_the_area ; the_other_person ; decide_together ; does_not_matter
C | taste | What are you most drawn to in a stranger across the room? | their_laugh ; the_way_they_dress ; their_eyes ; their_confidence ; how_they_treat_others ; their_body_language
C | taste | Which dating app prompt answer impresses you most? | a_funny_one ; a_very_specific_one ; a_vulnerable_one ; a_clever_question_back ; a_shared_interest
C | values | What should you do if you realize halfway through a date that you are not interested? | finish_politely ; say_so_kindly_right_then ; cut_it_short_with_an_excuse ; keep_it_friendly_and_decide_later
C | values | How should you turn down someone who asks you out in person? | direct_no_thanks ; kind_explanation ; say_you_are_seeing_someone_even_if_untrue ; change_the_subject ; other
C | taste | Which kind of compliment from a date means the most to you? | on_your_looks ; on_your_humor ; on_your_intelligence ; on_your_style ; on_your_kindness ; on_something_you_made
C | personality | When a date goes quiet for a while, what do you usually do? | ask_a_question ; tell_a_story ; make_a_joke ; enjoy_the_silence ; check_my_phone
C | values | What is the right response when someone you met once stops replying? | let_it_go ; send_one_follow_up ; ask_them_directly_what_happened ; unmatch_or_delete_their_number
C | social | Which dating app behavior would most people consider the most annoying? | ghosting_after_matching ; one_word_replies ; asking_for_social_media_right_away ; never_suggesting_a_meeting ; old_or_misleading_photos
C | taste | Which dating app photo turns you off the most? | group_photo_where_you_cannot_tell_who ; sunglasses_in_every_photo ; car_or_gym_mirror_selfie ; holding_a_fish ; heavily_filtered_face ; photo_with_an_ex_cropped_out
C | values | What is the most honest way to describe yourself on a dating profile? | list_flaws_too ; highlight_the_best_but_true ; keep_it_vague ; let_friends_write_it
C | values | When should two people who met on an app switch to texting by phone? | right_after_matching ; after_a_few_good_messages ; after_setting_up_a_date ; after_the_first_date ; never_until_serious
C | taste | Which kind of person are you most often attracted to? | the_class_clown ; the_quiet_thinker ; the_ambitious_go_getter ; the_creative_type ; the_caretaker ; the_adventurer ; no_pattern
C | values | What should happen if both people want to pay on a first date? | split_it ; the_asker_pays ; take_turns_next_time ; whoever_grabs_the_bill_first ; the_other_pays_for_drinks_after
C | taste | What is your favorite sign that a date likes you? | they_lean_in ; they_ask_follow_up_questions ; they_laugh_at_your_jokes ; they_suggest_another_date ; they_lose_track_of_time ; they_touch_your_arm
C | values | What is the right amount of personal history to share on a first date? | only_light_topics ; hobbies_and_work ; family_background ; past_relationships ; anything_that_comes_up
C | personality | How do you usually prepare for a first date? | plan_outfit_days_ahead ; research_the_venue ; prepare_topics ; just_show_up ; talk_to_a_friend_for_advice
C | taste | Which scent on a date is most appealing to you? | fresh_soap ; light_perfume_or_cologne ; strong_perfume_or_cologne ; natural_scent ; no_noticeable_scent
C | social | What would most people say is the biggest first-date turn-off? | being_on_the_phone ; talking_only_about_themselves ; being_rude_to_staff ; showing_up_late ; drinking_too_much ; complaining_a_lot
C | taste | Which kind of eyes do you find most striking? | dark_brown ; light_blue ; green ; hazel ; grey ; no_preference
C | taste | Which hair length do you tend to find most attractive? | very_short ; short ; medium ; long ; no_preference
C | taste | What kind of laugh do you find most charming? | loud_and_unrestrained ; quiet_giggle ; snorting_laugh ; deep_chuckle ; no_preference
C | values | How should you let a date know you want to see them again? | tell_them_at_the_end ; text_that_night ; text_the_next_day ; wait_for_them_to_ask ; propose_a_specific_plan
C | taste | What would be your ideal way to meet someone at a wedding? | seated_together_at_dinner ; on_the_dance_floor ; introduced_by_the_couple ; at_the_bar ; after_party
C | values | What is the right thing to do if you are set up by friends and do not like the person? | tell_your_friends_honestly ; go_on_one_date_anyway ; decline_without_explanation ; say_you_are_busy
C | taste | How would you most like to flirt with someone? | teasing_banter ; direct_compliments ; lingering_eye_contact ; playful_texting ; doing_small_favors ; rarely_flirt
C | values | What is the fairest way to decide who pays when dating someone a lot richer than you? | they_always_pay ; split_evenly ; each_pays_by_their_means ; alternate_but_choose_cheaper_places_on_my_turn
C | taste | What kind of dating app bio do you prefer? | short_and_funny ; long_and_detailed ; list_of_interests ; no_bio_just_photos ; a_single_quote
C | values | When should you tell a date about a serious health condition? | first_date ; within_the_first_few_dates ; once_it_becomes_exclusive ; only_if_it_comes_up ; never_unless_asked
C | taste | Which activity would you rather do on a third date? | cook_dinner_together ; take_a_day_trip ; see_live_music ; play_a_sport ; go_to_a_party_with_friends ; stay_in_and_watch_a_movie
C | social | Which dating platform would most people say has the worst reputation? | swipe_apps ; paid_matchmaking_sites ; social_media_messages ; video_dating ; speed_dating_events
C | values | What should you do if your date is clearly drunk when they arrive? | end_it_and_make_sure_they_get_home ; stay_and_see_how_it_goes ; reschedule ; leave_immediately
# choice batch B
C | values | What should a person do if they are dating several people at once? | tell_everyone_up_front ; tell_anyone_who_asks ; keep_it_private ; stop_and_pick_one
C | taste | Which quality in a voice note from a match do you like most? | calm_tone ; enthusiasm ; a_nice_accent ; humor ; dislike_voice_notes
C | personality | When you feel nervous before a date, what do you usually do? | text_a_friend ; listen_to_music ; exercise ; have_a_drink ; overthink_everything ; do_not_get_nervous
C | values | Which topic should be avoided on a first date? | exes ; money ; religion ; family_problems ; health ; nothing_is_off_limits
C | taste | What is the most attractive thing a date can order at a restaurant? | something_adventurous ; something_simple ; exactly_what_they_crave ; something_to_share ; whatever_the_waiter_recommends ; no_opinion
C | values | What is the best reason to delete a dating app? | wanting_to_meet_people_offline ; feeling_worse_about_yourself ; starting_to_see_someone ; wasting_too_much_time ; no_good_matches
C | taste | Which kind of style do you find most attractive in a date? | smart_and_tailored ; casual_and_relaxed ; sporty ; artsy_and_unusual ; vintage ; no_preference
