C | taste | Where would you most like to make a new friend as an adult? | hobby_class = a class, club, or team ; through_existing_friends ; work_or_school ; online_community ; neighborhood ; gym_or_sports ; volunteering ; other
C | personality | What usually turns an acquaintance into a friend for you? | shared_activity = doing something together regularly ; deep_conversation ; shared_crisis = getting through something hard together ; same_sense_of_humor ; mutual_friends ; they_kept_inviting_me ; other
C | personality | Who usually makes the first move to turn a new acquaintance into a friend? | always_me ; mostly_me ; about_equal ; mostly_them ; always_them
C | taste | Which quality matters most to you in a close friend? | loyalty ; honesty ; humor ; reliability ; kindness ; shared_interests ; good_listener ; other
C | taste | What is your favorite way to catch up with a friend you haven't seen in a while? | long_dinner ; walk_together ; drinks_at_a_bar ; phone_call ; video_call ; coffee ; doing_an_activity ; other
C | values | If a close friend asks to borrow a large sum of money, what would you most likely do? | lend_it_all ; lend_part ; give_it_as_a_gift ; help_another_way = help them find another solution ; say_no
C | values | If a friend tells you a secret and another close friend asks about it directly, what do you do? | deny_knowing ; say_i_cant_share ; change_the_subject ; tell_them ; other
C | values | Your friend's partner is cheating on them and you know it. What do you do? | tell_friend_directly ; confront_the_partner_first ; drop_hints ; stay_out_of_it ; other
C | values | Which is the hardest betrayal for a friendship to survive? | sharing_a_secret ; dating_an_ex ; lying_about_something_big ; talking_behind_my_back ; not_showing_up_in_a_crisis ; stealing_money ; other
C | personality | When a friend does something that bothers you, what do you usually do? | tell_them_right_away ; bring_it_up_later ; hint_at_it ; let_it_go ; pull_back_quietly ; vent_to_someone_else
C | taste | What role do you usually play in your friend group? | planner ; comedian ; listener ; mediator ; wild_card ; quiet_one ; host ; other
C | taste | Which kind of group chat do you prefer? | constant_chatter ; memes_only ; plans_only ; quiet_but_alive = quiet most days but active when needed ; i_avoid_group_chats
C | personality | How do you usually handle a busy group chat you're in? | read_everything ; skim ; mute_it ; reply_to_everything ; react_with_emojis ; leave_it_unread
C | social | What do most people consider the most annoying group chat habit? | leaving_people_on_read ; spamming_memes ; voice_messages ; side_conversations ; arguing_in_the_chat ; making_plans_that_never_happen ; other
C | values | A friend's new partner is someone you strongly dislike. What do you do? | tell_friend_honestly ; keep_quiet_and_be_polite ; see_friend_alone_more ; avoid_the_couple ; give_them_a_chance ; other
C | values | Your friend wants to date your ex. What is your reaction? | totally_fine ; fine_if_they_ask_first ; hurt_but_would_accept ; it_would_end_the_friendship ; depends_on_how_long_ago
C | values | Which is the best way to handle envy when a friend succeeds where you haven't? | celebrate_them_anyway ; admit_it_to_them ; use_it_as_motivation ; give_it_some_distance ; talk_to_someone_else_about_it ; other
C | personality | When a close friend gets big good news, what is your first honest feeling? | pure_joy ; happy_with_a_bit_of_envy ; mostly_envy ; motivated ; indifferent
C | taste | Which gift from a friend would you appreciate most? | handmade_item ; experience_together ; something_from_my_wishlist ; a_thoughtful_note ; a_surprise_visit ; food_or_drink ; no_gifts_needed
C | values | How should friends handle splitting a restaurant bill? | split_evenly ; pay_for_what_you_ordered ; take_turns_paying ; higher_earner_pays_more ; whoever_invited_pays
C | values | A friend keeps cancelling on you but says they still value the friendship. What is fairest? | keep_inviting ; wait_for_them_to_invite ; tell_them_how_it_feels ; stop_making_plans ; other
C | taste | What kind of friend do you most want to be to others? | the_reliable_one ; the_fun_one ; the_honest_one ; the_wise_one ; the_generous_one ; the_loyal_one ; other
C | personality | After an argument with a friend, who usually reaches out first? | me ; them ; whoever_was_wrong ; nobody_we_just_move_on ; it_varies
C | personality | How do you most often end up losing touch with a friend? | a_move ; new_relationship ; different_life_stages ; a_fight ; slow_fade_no_reason ; new_job ; having_kids ; other
C | taste | Which setting is best for making friends as an adult? | recurring_class ; sports_league ; religious_or_spiritual_community ; volunteering ; social_app ; parties ; workplace ; other
C | values | What should you do if a friend asks you to lie for them to their family? | do_it ; refuse ; do_it_only_for_small_things ; stay_vague ; other
C | values | What should you do when a friend asks for your honest opinion on their outfit and it looks bad? | say_it_directly ; gently_suggest_something_else ; point_out_one_good_thing ; say_it_looks_fine
C | values | What should you do if you find out a friend has been gossiping about you? | confront_them ; ask_them_calmly ; distance_yourself ; gossip_back ; ignore_it ; end_the_friendship
C | taste | What is the best way to celebrate a close friend's birthday? | throw_a_party ; one_on_one_dinner ; group_outing ; a_thoughtful_gift ; a_trip ; just_a_message ; other
C | social | What do most people say is the biggest reason adult friendships fade? | no_time ; moving_away ; romantic_partners ; kids ; different_interests ; money_differences ; a_conflict ; other
C | personality | What kind of friends do you tend to attract? | people_like_me ; opposites ; people_who_need_help ; high_energy_people ; quiet_people ; mixed
C | values | Should a best friend be always honest or always supportive? | always_honest ; always_supportive
C | values | Would you rather have a friend who shows up in a crisis or one who is fun on ordinary days? | shows_up_in_a_crisis ; fun_on_ordinary_days
C | taste | Which of these friendship types matters most to you? | childhood_friends ; school_or_college_friends ; friends_from_work ; friends_from_hobbies ; online_friends ; family_friends
C | values | A friend is moving across the country. What do you do? | help_them_move ; throw_a_goodbye_party ; plan_a_visit ; say_goodbye_casually ; nothing_special
C | personality | When a friend is going through a hard time, what do you tend to offer? | practical_help ; advice ; just_listening ; distraction ; my_presence = just being there ; space ; other
C | taste | How do you prefer friends to comfort you when you're down? | listen_without_advice ; give_advice ; distract_me ; leave_me_alone ; show_up_in_person ; send_something_kind
C | values | What should you do when a friend's drinking seems to be getting out of hand? | talk_to_them_directly ; talk_to_mutual_friends ; talk_to_their_family ; avoid_drinking_events_with_them ; mind_my_own_business ; other
C | values | A friend is about to make a big life decision you think is a mistake. What do you do? | say_so_once_then_support ; argue_it_hard ; stay_quiet_and_support ; ask_questions_to_make_them_think ; distance_myself
C | values | If two of your friends start dating and then break up, what do you do? | stay_friends_with_both ; pick_one ; see_them_separately ; stay_out_of_the_drama ; other
C | taste | What is your ideal friend group size? | just_one_close_friend ; two_or_three = a handful ; a_medium_group ; a_large_group ; several_separate_groups
C | social | Which quality would most people say makes someone the best friend to have? | loyalty ; humor ; honesty ; generosity ; reliability ; kindness ; other
C | values | What should you do if a friend always arrives very late? | tell_them_it_bothers_you ; give_them_an_earlier_time ; start_without_them ; accept_it ; stop_inviting_them
C | values | Who should reach out after a long silence between friends? | the_one_who_went_quiet ; whoever_misses_the_other ; the_one_with_more_time ; it_doesnt_matter
C | personality | What do you do when you realize a friendship has become one-sided? | say_something ; pull_back_to_match ; keep_giving ; let_it_end ; other
C | taste | Which friend activity do you enjoy most? | games_night ; cooking_together ; traveling ; sports_or_exercise ; going_out ; long_talks ; watching_something ; other
C | values | A friend asks you to be a reference or cosigner for an apartment. What do you do? | reference_yes_cosign_yes ; reference_yes_cosign_no ; neither ; depends_on_the_friend
C | values | What is the right response when a friend forgets something important you told them? | remind_them_kindly ; let_it_go ; tell_them_it_hurt ; take_it_as_a_sign
C | taste | What kind of friend do you find hardest to be around? | always_complaining ; always_competing ; always_late ; always_flaking ; always_bragging ; always_needing_help ; other
C | values | Which friendship rule matters most to you? | no_secrets_shared ; show_up_when_it_matters ; no_dating_exes ; be_honest ; keep_in_touch ; pay_back_debts ; other
C | personality | How do you usually hear about a friend's big news? | they_tell_me_directly ; group_chat ; social_media ; from_mutual_friends ; it_varies
C | values | If you hear about a friend's big news on social media before they tell you, how do you see it? | no_big_deal ; slightly_hurt ; very_hurt ; a_sign_we_are_drifting
C | values | What should happen if a friend breaks something valuable at your home? | they_replace_it ; they_pay_part ; they_apologize_and_thats_enough ; depends_on_value ; nothing
C | taste | Which trip would you most enjoy with friends? | beach_house ; city_trip ; camping ; road_trip ; festival ; skiing ; cabin_weekend ; other
C | values | How should friends split costs on a shared trip? | split_everything_evenly ; everyone_pays_their_own ; shared_kitty = a common pot for group costs ; one_pays_others_repay ; other
C | personality | On a group trip, which role do you usually take? | organizer ; navigator ; cook ; entertainer ; go_with_the_flow ; money_keeper
C | values | If one friend in the group has much less money, what should the group do? | choose_cheaper_plans ; others_cover_more ; offer_options_at_different_prices ; carry_on_as_usual ; ask_them_what_they_prefer
C | social | What do most people say is the worst thing to do at a friend's wedding? | get_too_drunk ; wear_white ; give_a_bad_speech ; bring_uninvited_guest ; skip_it_last_minute ; make_it_about_yourself ; other
C | values | Your friend's wedding falls on a day you have a conflict. Which should win? | always_the_wedding ; my_family_event ; an_important_work_event ; depends_on_how_close_we_are
C | values | If a friend loses their job, what is the most helpful thing to do? | offer_leads ; treat_them_to_meals ; just_listen ; offer_money ; keep_things_normal ; other
C | taste | Which conversations do you most want with close friends? | deep_personal_talks ; silly_banter ; talking_about_ideas ; gossip ; planning_adventures ; mix_of_everything
C | personality | Which describes how you keep friendships going? | scheduled_catchups ; spontaneous_texts ; seeing_them_through_groups ; they_keep_it_going ; i_let_them_drift
C | values | A friend reveals they've been struggling for months without telling you. How do you react? | hurt_they_didnt_tell_me ; glad_they_told_me_now ; worried_i_missed_it ; understanding
C | values | Which is more acceptable between friends? | a_white_lie_to_spare_feelings ; a_hurtful_truth
C | personality | What do you do when invited to a friend's event you don't want to attend? | go_anyway ; make_an_excuse ; say_honestly_i_cant ; go_briefly ; ignore_it
C | taste | How do you prefer to be invited to a friend's gathering? | personal_message ; group_chat ; phone_call ; in_person ; event_invite_link
C | values | A friend confides they did something wrong that hurt someone else. What do you do? | keep_it_between_us ; urge_them_to_fix_it ; tell_the_person_hurt ; judge_them_privately ; other
C | values | Which is worse from a friend? | forgetting_my_birthday ; forgetting_something_i_told_them_in_confidence ; missing_my_big_event ; never_asking_how_i_am
C | personality | How do you usually end a friendship that isn't working? | slow_fade ; honest_conversation ; a_final_fight ; a_message_explaining ; it_just_happens
C | social | What do most people consider the best way to end a friendship? | honest_conversation ; slow_fade ; a_written_message ; just_block_them ; let_it_die_naturally
C | taste | What kind of friend group gatherings do you like best? | dinner_parties ; bar_nights ; house_parties ; outdoor_activities ; game_nights ; weekend_trips ; low_key_hangouts
C | values | When a friend is drunk and wants to drive, what do you do? | take_their_keys ; call_them_a_ride ; drive_them ; let_them_stay_over ; all_of_the_above
C | values | How should you respond when a friend asks you to keep a secret from their partner? | agree ; refuse ; depends_on_the_secret ; agree_but_urge_honesty
C | values | What should a friend do if they see your partner on a dating app? | tell_me_immediately ; confront_my_partner ; screenshot_and_tell_me ; say_nothing ; other
C | personality | What makes you trust a new friend? | they_keep_secrets ; they_show_up ; they_are_honest_with_me ; time ; shared_vulnerability ; mutual_friends_vouch ; other
C | taste | Which setting do you feel most yourself with friends? | one_on_one ; small_group ; big_group ; online ; doing_an_activity
C | values | Is it better to have friends who are like you or different from you? | mostly_similar ; mostly_different ; a_mix
C | values | A friend asks you to watch their pet for a week. What do you do? | happily_yes ; yes_if_they_return_the_favor ; yes_but_resentfully ; suggest_a_pet_sitter ; no
C | personality | When you move to a new city, how do you usually make friends? | join_clubs ; use_apps ; through_work ; friends_of_friends ; neighbors ; i_rarely_do ; other
C | values | If you and your best friend both want the same job, what should happen? | both_apply ; talk_about_it_first ; one_steps_aside ; whoever_wants_it_more ; other
C | social | According to most people, what is the most important thing a best friend should do? | keep_secrets ; show_up_in_hard_times ; tell_the_truth ; make_you_laugh ; stay_in_touch ; other
C | values | What is the right response when a friend owes you money and asks for more? | lend_again ; say_no_until_repaid ; remind_them_of_the_first_debt ; give_it_as_a_gift ; end_the_lending
C | taste | Which kind of friend do you most wish you had more of? | adventurous ; intellectual ; emotionally_open ; reliable ; funny ; older_and_wise ; other
C | values | A friend's child is badly behaved in your home. What do you do? | say_something_to_the_child ; mention_it_to_friend ; hint ; ignore_it ; avoid_hosting_them
C | personality | Which describes your friendships best? | a_few_deep_ones ; many_light_ones ; one_core_group ; separate_circles ; not_many_friends
C | values | Your friend asks you to help them move on a weekend you had free. What do you do? | help_all_day ; help_for_a_few_hours ; offer_pizza_money_instead ; make_an_excuse ; say_honestly_no
C | values | What is fair when a friend always picks the restaurant? | say_i_want_to_choose ; suggest_taking_turns ; go_along ; stop_going ; it_doesnt_bother_me
C | personality | When a friend cancels plans on you, how do you usually feel? | relieved ; disappointed ; annoyed ; hurt ; indifferent
C | values | What should you do when you realize you've been a bad friend lately? | apologize_directly ; make_it_up_with_actions ; explain_what_happened ; quietly_do_better ; other
C | taste | Which kind of message from a friend makes your day most? | a_random_i_miss_you ; a_funny_meme ; a_photo_of_a_shared_memory ; a_long_update ; a_voice_note ; an_invitation
C | values | If a friend repeatedly shows up empty-handed to dinners you host, what do you do? | say_nothing ; ask_them_to_bring_something ; stop_inviting ; hint ; it_doesnt_matter
C | social | What do most people consider the proper thing to bring to a friend's dinner party? | wine_or_drinks ; dessert ; flowers ; a_side_dish ; nothing ; ask_the_host
C | values | A close friend starts dating someone much younger or older who seems to be using them. What do you do? | voice_concern_once ; keep_raising_it ; stay_silent ; talk_to_other_friends ; other
C | values | What should you do if a friend asks you to keep something from another friend in the group? | agree ; refuse ; agree_for_small_things_only ; tell_them_it_puts_me_in_a_tough_spot
C | taste | Which friend would you call first with great news? | best_friend ; family_member ; partner ; group_chat ; oldest_friend ; whoever_is_awake
C | taste | Which friend would you call first in a crisis? | best_friend ; family_member ; partner ; most_practical_friend ; nearest_friend ; nobody
C | personality | What stops you most from making new friends? | no_time ; shyness ; no_places_to_meet ; already_have_enough ; fear_of_rejection ; low_energy ; nothing
C | values | What should you do if a friend makes a joke that crosses a line about you in public? | laugh_it_off ; call_it_out_right_there ; talk_privately_later ; joke_back ; leave
C | values | If your best friend and your partner don't get along, what should you do? | keep_them_apart ; push_them_to_get_along ; side_with_partner ; side_with_friend ; talk_to_each_separately ; other
C | values | When a friend asks for feedback on their business idea that seems bad, what do you do? | point_out_flaws ; encourage_them ; ask_probing_questions ; suggest_they_ask_an_expert ; other
C | taste | What is the best way to stay close to a friend who lives in another country? | regular_video_calls ; voice_notes ; letters_or_packages ; visits ; social_media ; shared_online_games ; other
C | personality | How do you feel about friends showing up at your home unannounced? | love_it ; fine_for_close_friends ; mildly_uncomfortable ; hate_it
C | values | Your friend confesses romantic feelings for you, and you don't feel the same. What do you do? | stay_friends_as_before ; take_some_space ; talk_it_through_honestly ; slowly_drift ; end_the_friendship
C | values | Who should host when a friend group gets together regularly? | take_turns ; whoever_has_the_biggest_space ; the_one_who_likes_hosting ; always_go_out_instead
C | values | Which is the bigger friendship foul? | canceling_last_minute ; not_showing_up_at_all ; always_being_late ; never_initiating
C | taste | What kind of friend-group tradition would you most enjoy? | annual_trip ; holiday_dinner ; weekly_game_night ; birthday_rituals ; shared_sports_team ; book_club ; none
C | values | What should you do if you can't afford a friend's expensive birthday plans? | say_so_honestly ; go_and_overspend ; skip_with_an_excuse ; suggest_a_cheaper_option ; join_for_part
C | personality | How do you respond when a friend repeatedly vents about the same problem? | keep_listening ; give_blunter_advice ; tell_them_i_need_a_break ; change_the_subject ; pull_back
C | values | A friend asks you to be in their wedding party but you can't afford it. What do you do? | accept_and_budget ; decline_honestly ; accept_and_ask_for_help ; suggest_a_smaller_role
C | social | Which do most people value more in a friend? | loyalty ; honesty
C | values | If a friend confides a serious problem and asks you not to tell anyone, when would you break that promise? | never ; if_their_life_is_at_risk ; if_someone_else_is_at_risk ; if_i_couldnt_handle_it_alone ; other
C | taste | What do you most enjoy doing alone with your best friend? | talking_for_hours ; cooking ; walking ; traveling ; watching_shows ; doing_nothing_together ; other
C | values | When friends grow apart, whose responsibility is it? | both ; the_one_who_changed ; the_one_who_stopped_reaching_out ; nobody ; other
C | personality | What do you do on social media when you drift from a friend? | keep_following ; mute_them ; unfollow ; still_like_their_posts ; nothing_changes
C | values | What is the best way to reconnect with a friend after years apart? | a_simple_message ; invite_them_for_coffee ; a_call ; comment_on_their_post ; through_mutual_friends ; wait_for_a_chance_meeting
C | values | Should you tell a friend when their partner flirts with you? | tell_friend ; tell_the_partner_to_stop ; both ; say_nothing ; depends_how_serious
C | values | Your friend group starts excluding one member. What do you do? | include_them_myself ; call_it_out ; go_along ; ask_why ; stay_neutral
C | personality | How do you usually feel about joining an established friend group? | excited ; nervous ; like_an_outsider ; indifferent ; it_depends_on_the_group
C | taste | Which do you prefer at a friend's party? | a_few_people_i_know ; lots_of_new_people ; a_mix
C | values | If a friend gets rich and you don't, what should change? | nothing ; they_should_pay_more ; plans_should_adapt ; nothing_unless_they_offer
C | values | Should a friend share credit when you helped them succeed? | always ; if_the_help_was_big ; privately_is_enough ; not_necessary
C | taste | How do you prefer to celebrate your own birthday with friends? | big_party ; small_dinner ; one_friend ; a_trip ; no_celebration ; whatever_friends_plan
C | values | What should you do if a friend's pet bit you? | tell_them_calmly ; ask_them_to_pay_for_care ; stop_visiting ; say_nothing ; other
C | values | A friend starts pushing a side business or sales scheme on you. What do you do? | buy_to_support ; decline_politely ; tell_them_it_bothers_me ; avoid_them ; mute_their_posts
C | social | According to most people, what should friends do when one friend has a baby? | visit_with_food ; give_them_space ; offer_to_babysit ; send_a_gift ; keep_inviting_them_out ; other
C | values | Your best friend has a baby and suddenly has no time for you. What do you do? | adapt_to_their_schedule ; wait_it_out ; tell_them_i_miss_them ; find_other_friends ; drift
C | personality | Which kind of plan are you most likely to flake on? | early_morning_plans ; big_parties ; plans_made_long_ago ; plans_with_new_people ; i_never_flake
C | values | What should you do when a close friend's core beliefs change a lot over time? | talk_about_it ; avoid_the_topic ; drift_apart ; embrace_the_change ; other
C | values | When is it okay to read a friend's messages over their shoulder? | never ; if_they_show_me ; if_its_funny ; if_its_about_me
C | taste | Which trait makes a new friend most fun? | spontaneity ; good_stories ; curiosity ; sarcasm ; enthusiasm ; calm ; other
C | values | What should you do if your friend's partner confides something serious to you? | tell_my_friend ; keep_it_secret ; urge_them_to_tell_my_friend ; stay_out_of_it
