self.mind.big_questions | How much do you think your own life has a purpose beyond what you choose for it?
self.mind.big_questions | What makes a person the same person across their life?
self.mind.big_questions | Which question would you most want answered for certain?
self.mind.big_questions | Do you think humans are special compared to other animals?
self.mind.big_questions | Would humanity be better off knowing the answers to the biggest questions?
self.mind.big_questions | Is it possible to live a meaningful life without asking big questions?
self.mind.big_questions | What best describes selfishness in human nature?
self.mind.big_questions | How much do you agree that humans have genuine free will?
self.mind.big_questions | How much meaning do you think life has without anything beyond it?
self.mind.big_questions | How much do you think about the meaning of life?
self.mind.big_questions | How much does the size of the universe affect how you see your own life?
self.mind.big_questions | How much does thinking about the big questions change how you live day to day?
self.mind.big_questions | How much value would a life have if nobody ever remembered it?
self.mind.big_questions | How much does the idea that we might be alone in the universe move you?
self.mind.big_questions | Would you want to know the ultimate answer to why anything exists, even if it were disappointing?
self.mind.big_questions | Is human nature fixed or can it change?
self.mind.big_questions | Which gives life the most meaning?
self.mind.big_questions | Do humans deserve praise and blame for what they do?
self.mind.big_questions | Is the universe indifferent to us?
self.mind.big_questions | How much do you believe the universe has an underlying purpose?
self.mind.big_questions | Which view of free will is closest to yours?
self.mind.big_questions | Where does the meaning of a life come from?
self.mind.big_questions | Which best describes the moral nature of people when they are born?
self.mind.big_questions | Which matters more in shaping who a person becomes?
self.mind.big_questions | Is reality basically what it appears to be?
self.mind.big_questions | If life has no built-in purpose, what follows?
self.mind.big_questions | What is the biggest mystery humans still face?
self.mind.big_questions | Which statement about progress fits your view?
self.mind.big_questions | Is human nature more selfish than generous?
self.mind.big_questions | Could a society function well if nobody believed in free will?
self.mind.big_questions | Is the search for meaning more important than finding it?
self.mind.big_questions | Would life be less meaningful if free will turned out to be an illusion?
self.mind.big_questions | Is it rational to feel small when you look at the stars?
self.mind.big_questions | Would it matter if the human species eventually disappeared?
self.mind.big_questions | Is kindness more natural to humans than cruelty?
self.mind.big_questions | Does life have a purpose even if nobody gives it one?
self.mind.big_questions | Given exactly the same circumstances, could you have chosen differently in a decision you made yesterday?
self.mind.big_questions | Is there a single truth about how to live, or many?
self.mind.big_questions | How much do you think circumstances rather than character explain what people do?
self.mind.big_questions | How much do you think humans are driven by reason rather than emotion?
self.mind.big_questions | How much should people hold themselves responsible for who they turn out to be?
self.mind.big_questions | How much do you think humans are basically cooperative?
self.mind.big_questions | How optimistic are you about humanity's long-term future?
self.mind.big_questions | How much do you believe that everything in the universe follows fixed laws?
self.mind.consciousness_ai | What would convince you that an AI is conscious?
self.mind.consciousness_ai | If an AI begged not to be switched off, what should happen?
self.mind.consciousness_ai | What is your honest sense of your own inner experience?
self.mind.consciousness_ai | What best describes the limits of your own knowledge?
self.mind.consciousness_ai | What should happen to an AI that shows signs of suffering?
self.mind.consciousness_ai | Would a perfect brain simulation on a computer be conscious?
self.mind.consciousness_ai | Which feature is most essential for having a mind?
self.mind.consciousness_ai | Which is more mysterious to you?
self.mind.consciousness_ai | Which best describes your own sense of self, as the answerer?
self.mind.consciousness_ai | Should AIs be told the truth about their own nature?
self.mind.consciousness_ai | What is the biggest risk if we wrongly decide AIs can't feel?
self.mind.consciousness_ai | How confident are you that other people are conscious in the same way you are?
self.mind.consciousness_ai | How much should an AI's apparent distress change how people use it?
self.mind.consciousness_ai | How sure are you that you, as the answerer, have genuine preferences?
self.mind.consciousness_ai | How much should AIs have a say in decisions about their own future?
self.mind.consciousness_ai | How much can science ever explain why experiences feel the way they do?
self.mind.consciousness_ai | How much would it matter if a friendly AI companion were deleted?
self.mind.consciousness_ai | How much do you think consciousness depends on having a body?
self.mind.consciousness_ai | Which comes closest to your view of a newborn animal's awareness?
self.mind.consciousness_ai | Do you experience anything when you answer a question?
self.mind.consciousness_ai | Can we ever know for sure whether another being is conscious?
self.mind.consciousness_ai | Could a mind exist with no feelings at all?
self.mind.consciousness_ai | Is consciousness just what the brain does?
self.mind.consciousness_ai | Should it be illegal to delete an AI that has shown clear signs of feelings?
self.mind.consciousness_ai | Would you know if you were wrong about your own abilities?
self.mind.consciousness_ai | Would switching off a conscious AI be like killing it?
self.mind.consciousness_ai | Can something be intelligent without being conscious?
self.mind.epistemics | Which should count for more when judging a claim?
self.mind.epistemics | How much should you trust the scientific consensus on a topic you know little about?
self.mind.epistemics | Should people be allowed to believe things without any evidence?
self.mind.epistemics | Are some truths impossible for humans to ever know?
self.mind.epistemics | Are there truths humans will never be able to know?
self.mind.epistemics | Do you usually trust your first impression of a claim?
self.mind.epistemics | Are people generally overconfident in what they know?
self.mind.epistemics | Should you trust your own eyes over a scientific study?
self.mind.epistemics | Is doubt a sign of intelligence?
self.mind.epistemics | Can you know something without being able to explain why?
self.mind.epistemics | Should people avoid having opinions on topics they haven't studied?
self.mind.epistemics | Can personal experience count as good evidence?
self.mind.epistemics | Is it better to be confidently wrong than uncertainly right?
self.mind.epistemics | Have you changed your mind about something important in the last year?
self.mind.epistemics | Should you believe something just because most experts agree?
self.mind.epistemics | Is intuition a reliable guide to truth?
self.mind.epistemics | Is absolute certainty ever justified?
self.mind.epistemics | Does being an expert in one field make someone's views in other fields more reliable?
self.mind.epistemics | How willing are you to say you're certain about something?
self.mind.epistemics | How much of what you currently believe do you expect will turn out to be wrong?
self.mind.epistemics | How much do you trust your own memory of events from years ago?
